gene_id,sample,counts,cell,dex,avgLength,gene_name,entrezid,gene_biotype,gene_seq_start,gene_seq_end,seq_name,seq_strand,seq_coord_system,symbol
ENSG00000000971,SRR1039512,6177,N052611,untrt,126,CFH,,protein_coding,196621008,196716634,1,1,,CFH
ENSG00000000971,SRR1039513,4252,N052611,trt,87,CFH,,protein_coding,196621008,196716634,1,1,,CFH
ENSG00000000971,SRR1039516,6721,N080611,untrt,120,CFH,,protein_coding,196621008,196716634,1,1,,CFH
ENSG00000000971,SRR1039517,11027,N080611,trt,126,CFH,,protein_coding,196621008,196716634,1,1,,CFH
ENSG00000000971,SRR1039520,5176,N061011,untrt,101,CFH,,protein_coding,196621008,196716634,1,1,,CFH
ENSG00000000971,SRR1039521,7995,N061011,trt,98,CFH,,protein_coding,196621008,196716634,1,1,,CFH
ENSG00000001036,SRR1039508,1433,N61311,untrt,126,FUCA2,,protein_coding,143815948,143832827,6,-1,,FUCA2
ENSG00000001036,SRR1039509,1062,N61311,trt,126,FUCA2,,protein_coding,143815948,143832827,6,-1,,FUCA2
ENSG00000001036,SRR1039512,1733,N052611,untrt,126,FUCA2,,protein_coding,143815948,143832827,6,-1,,FUCA2
ENSG00000001036,SRR1039513,881,N052611,trt,87,FUCA2,,protein_coding,143815948,143832827,6,-1,,FUCA2
ENSG00000001036,SRR1039516,1424,N080611,untrt,120,FUCA2,,protein_coding,143815948,143832827,6,-1,,FUCA2
ENSG00000001036,SRR1039517,1439,N080611,trt,126,FUCA2,,protein_coding,143815948,143832827,6,-1,,FUCA2
ENSG00000001036,SRR1039520,1359,N061011,untrt,101,FUCA2,,protein_coding,143815948,143832827,6,-1,,FUCA2
ENSG00000001036,SRR1039521,1109,N061011,trt,98,FUCA2,,protein_coding,143815948,143832827,6,-1,,FUCA2
ENSG00000001084,SRR1039508,519,N61311,untrt,126,GCLC,,protein_coding,53362139,53481768,6,-1,,GCLC
ENSG00000001084,SRR1039509,380,N61311,trt,126,GCLC,,protein_coding,53362139,53481768,6,-1,,GCLC
ENSG00000001084,SRR1039512,595,N052611,untrt,126,GCLC,,protein_coding,53362139,53481768,6,-1,,GCLC
ENSG00000001084,SRR1039513,493,N052611,trt,87,GCLC,,protein_coding,53362139,53481768,6,-1,,GCLC
ENSG00000001084,SRR1039516,820,N080611,untrt,120,GCLC,,protein_coding,53362139,53481768,6,-1,,GCLC
ENSG00000001084,SRR1039517,714,N080611,trt,126,GCLC,,protein_coding,53362139,53481768,6,-1,,GCLC
ENSG00000001084,SRR1039520,696,N061011,untrt,101,GCLC,,protein_coding,53362139,53481768,6,-1,,GCLC
ENSG00000001084,SRR1039521,704,N061011,trt,98,GCLC,,protein_coding,53362139,53481768,6,-1,,GCLC
ENSG00000001167,SRR1039508,394,N61311,untrt,126,NFYA,,protein_coding,41040684,41067715,6,1,,NFYA
ENSG00000001167,SRR1039509,236,N61311,trt,126,NFYA,,protein_coding,41040684,41067715,6,1,,NFYA
ENSG00000001167,SRR1039512,464,N052611,untrt,126,NFYA,,protein_coding,41040684,41067715,6,1,,NFYA
ENSG00000001167,SRR1039513,175,N052611,trt,87,NFYA,,protein_coding,41040684,41067715,6,1,,NFYA
ENSG00000001167,SRR1039516,658,N080611,untrt,120,NFYA,,protein_coding,41040684,41067715,6,1,,NFYA
ENSG00000001167,SRR1039517,584,N080611,trt,126,NFYA,,protein_coding,41040684,41067715,6,1,,NFYA
ENSG00000001167,SRR1039520,360,N061011,untrt,101,NFYA,,protein_coding,41040684,41067715,6,1,,NFYA
ENSG00000001167,SRR1039521,269,N061011,trt,98,NFYA,,protein_coding,41040684,41067715,6,1,,NFYA
ENSG00000001460,SRR1039508,172,N61311,untrt,126,STPG1,,protein_coding,24683489,24743424,1,-1,,STPG1
ENSG00000001460,SRR1039509,168,N61311,trt,126,STPG1,,protein_coding,24683489,24743424,1,-1,,STPG1
ENSG00000001460,SRR1039512,264,N052611,untrt,126,STPG1,,protein_coding,24683489,24743424,1,-1,,STPG1
ENSG00000001460,SRR1039513,118,N052611,trt,87,STPG1,,protein_coding,24683489,24743424,1,-1,,STPG1
ENSG00000001460,SRR1039516,241,N080611,untrt,120,STPG1,,protein_coding,24683489,24743424,1,-1,,STPG1
ENSG00000001460,SRR1039517,210,N080611,trt,126,STPG1,,protein_coding,24683489,24743424,1,-1,,STPG1
ENSG00000001460,SRR1039520,155,N061011,untrt,101,STPG1,,protein_coding,24683489,24743424,1,-1,,STPG1
ENSG00000001460,SRR1039521,177,N061011,trt,98,STPG1,,protein_coding,24683489,24743424,1,-1,,STPG1
ENSG00000001461,SRR1039508,2112,N61311,untrt,126,NIPAL3,,protein_coding,24742284,24799466,1,1,,NIPAL3
ENSG00000001461,SRR1039509,1867,N61311,trt,126,NIPAL3,,protein_coding,24742284,24799466,1,1,,NIPAL3
ENSG00000001461,SRR1039512,5137,N052611,untrt,126,NIPAL3,,protein_coding,24742284,24799466,1,1,,NIPAL3
ENSG00000001461,SRR1039513,2657,N052611,trt,87,NIPAL3,,protein_coding,24742284,24799466,1,1,,NIPAL3
ENSG00000001461,SRR1039516,2735,N080611,untrt,120,NIPAL3,,protein_coding,24742284,24799466,1,1,,NIPAL3
ENSG00000001461,SRR1039517,2751,N080611,trt,126,NIPAL3,,protein_coding,24742284,24799466,1,1,,NIPAL3
ENSG00000001461,SRR1039520,2467,N061011,untrt,101,NIPAL3,,protein_coding,24742284,24799466,1,1,,NIPAL3
ENSG00000001461,SRR1039521,2905,N061011,trt,98,NIPAL3,,protein_coding,24742284,24799466,1,1,,NIPAL3
ENSG00000001497,SRR1039508,524,N61311,untrt,126,LAS1L,,protein_coding,64732462,64754655,X,-1,,LAS1L
ENSG00000001497,SRR1039509,488,N61311,trt,126,LAS1L,,protein_coding,64732462,64754655,X,-1,,LAS1L
ENSG00000001497,SRR1039512,638,N052611,untrt,126,LAS1L,,protein_coding,64732462,64754655,X,-1,,LAS1L
ENSG00000001497,SRR1039513,357,N052611,trt,87,LAS1L,,protein_coding,64732462,64754655,X,-1,,LAS1L
ENSG00000001497,SRR1039516,676,N080611,untrt,120,LAS1L,,protein_coding,64732462,64754655,X,-1,,LAS1L
ENSG00000001497,SRR1039517,806,N080611,trt,126,LAS1L,,protein_coding,64732462,64754655,X,-1,,LAS1L
ENSG00000001497,SRR1039520,493,N061011,untrt,101,LAS1L,,protein_coding,64732462,64754655,X,-1,,LAS1L
ENSG00000001497,SRR1039521,475,N061011,trt,98,LAS1L,,protein_coding,64732462,64754655,X,-1,,LAS1L
ENSG00000001561,SRR1039508,71,N61311,untrt,126,ENPP4,,protein_coding,46097730,46114436,6,1,,ENPP4
ENSG00000001561,SRR1039509,51,N61311,trt,126,ENPP4,,protein_coding,46097730,46114436,6,1,,ENPP4
ENSG00000001561,SRR1039512,211,N052611,untrt,126,ENPP4,,protein_coding,46097730,46114436,6,1,,ENPP4
ENSG00000001561,SRR1039513,156,N052611,trt,87,ENPP4,,protein_coding,46097730,46114436,6,1,,ENPP4
ENSG00000001561,SRR1039516,23,N080611,untrt,120,ENPP4,,protein_coding,46097730,46114436,6,1,,ENPP4
ENSG00000001561,SRR1039517,38,N080611,trt,126,ENPP4,,protein_coding,46097730,46114436,6,1,,ENPP4
ENSG00000001561,SRR1039520,134,N061011,untrt,101,ENPP4,,protein_coding,46097730,46114436,6,1,,ENPP4
ENSG00000001561,SRR1039521,172,N061011,trt,98,ENPP4,,protein_coding,46097730,46114436,6,1,,ENPP4
ENSG00000001617,SRR1039508,555,N61311,untrt,126,SEMA3F,,protein_coding,50192478,50226508,3,1,,SEMA3F
ENSG00000001617,SRR1039509,394,N61311,trt,126,SEMA3F,,protein_coding,50192478,50226508,3,1,,SEMA3F
ENSG00000001617,SRR1039512,905,N052611,untrt,126,SEMA3F,,protein_coding,50192478,50226508,3,1,,SEMA3F
ENSG00000001617,SRR1039513,415,N052611,trt,87,SEMA3F,,protein_coding,50192478,50226508,3,1,,SEMA3F
ENSG00000001617,SRR1039516,727,N080611,untrt,120,SEMA3F,,protein_coding,50192478,50226508,3,1,,SEMA3F
ENSG00000001617,SRR1039517,697,N080611,trt,126,SEMA3F,,protein_coding,50192478,50226508,3,1,,SEMA3F
ENSG00000001617,SRR1039520,618,N061011,untrt,101,SEMA3F,,protein_coding,50192478,50226508,3,1,,SEMA3F
ENSG00000001617,SRR1039521,599,N061011,trt,98,SEMA3F,,protein_coding,50192478,50226508,3,1,,SEMA3F
ENSG00000001629,SRR1039508,1660,N61311,untrt,126,ANKIB1,,protein_coding,91875548,92030698,7,1,,ANKIB1
ENSG00000001629,SRR1039509,1251,N61311,trt,126,ANKIB1,,protein_coding,91875548,92030698,7,1,,ANKIB1
ENSG00000001629,SRR1039512,2259,N052611,untrt,126,ANKIB1,,protein_coding,91875548,92030698,7,1,,ANKIB1
ENSG00000001629,SRR1039513,1079,N052611,trt,87,ANKIB1,,protein_coding,91875548,92030698,7,1,,ANKIB1
ENSG00000001629,SRR1039516,2462,N080611,untrt,120,ANKIB1,,protein_coding,91875548,92030698,7,1,,ANKIB1
ENSG00000001629,SRR1039517,2514,N080611,trt,126,ANKIB1,,protein_coding,91875548,92030698,7,1,,ANKIB1
ENSG00000001629,SRR1039520,1888,N061011,untrt,101,ANKIB1,,protein_coding,91875548,92030698,7,1,,ANKIB1
ENSG00000001629,SRR1039521,1660,N061011,trt,98,ANKIB1,,protein_coding,91875548,92030698,7,1,,ANKIB1
ENSG00000001630,SRR1039508,59,N61311,untrt,126,CYP51A1,,protein_coding,91741465,91772266,7,-1,,CYP51A1
ENSG00000001630,SRR1039509,54,N61311,trt,126,CYP51A1,,protein_coding,91741465,91772266,7,-1,,CYP51A1
ENSG00000001630,SRR1039512,66,N052611,untrt,126,CYP51A1,,protein_coding,91741465,91772266,7,-1,,CYP51A1
ENSG00000001630,SRR1039513,23,N052611,trt,87,CYP51A1,,protein_coding,91741465,91772266,7,-1,,CYP51A1
ENSG00000001630,SRR1039516,84,N080611,untrt,120,CYP51A1,,protein_coding,91741465,91772266,7,-1,,CYP51A1
ENSG00000001630,SRR1039517,87,N080611,trt,126,CYP51A1,,protein_coding,91741465,91772266,7,-1,,CYP51A1
ENSG00000001630,SRR1039520,31,N061011,untrt,101,CYP51A1,,protein_coding,91741465,91772266,7,-1,,CYP51A1
ENSG00000001630,SRR1039521,59,N061011,trt,98,CYP51A1,,protein_coding,91741465,91772266,7,-1,,CYP51A1
ENSG00000001631,SRR1039508,729,N61311,untrt,126,KRIT1,,protein_coding,91828283,91875480,7,-1,,KRIT1
ENSG00000001631,SRR1039509,692,N61311,trt,126,KRIT1,,protein_coding,91828283,91875480,7,-1,,KRIT1
ENSG00000001631,SRR1039512,943,N052611,untrt,126,KRIT1,,protein_coding,91828283,91875480,7,-1,,KRIT1
ENSG00000001631,SRR1039513,475,N052611,trt,87,KRIT1,,protein_coding,91828283,91875480,7,-1,,KRIT1
ENSG00000001631,SRR1039516,1034,N080611,untrt,120,KRIT1,,protein_coding,91828283,91875480,7,-1,,KRIT1
ENSG00000001631,SRR1039517,1163,N080611,trt,126,KRIT1,,protein_coding,91828283,91875480,7,-1,,KRIT1
ENSG00000001631,SRR1039520,731,N061011,untrt,101,KRIT1,,protein_coding,91828283,91875480,7,-1,,KRIT1
ENSG00000001631,SRR1039521,744,N061011,trt,98,KRIT1,,protein_coding,91828283,91875480,7,-1,,KRIT1
ENSG00000002016,SRR1039508,201,N61311,untrt,126,RAD52,,protein_coding,1021243,1099219,12,-1,,RAD52
ENSG00000002016,SRR1039509,161,N61311,trt,126,RAD52,,protein_coding,1021243,1099219,12,-1,,RAD52
ENSG00000002016,SRR1039512,256,N052611,untrt,126,RAD52,,protein_coding,1021243,1099219,12,-1,,RAD52
ENSG00000002016,SRR1039513,99,N052611,trt,87,RAD52,,protein_coding,1021243,1099219,12,-1,,RAD52
ENSG00000002016,SRR1039516,268,N080611,untrt,120,RAD52,,protein_coding,1021243,1099219,12,-1,,RAD52
ENSG00000002016,SRR1039517,257,N080611,trt,126,RAD52,,protein_coding,1021243,1099219,12,-1,,RAD52
ENSG00000002016,SRR1039520,160,N061011,untrt,101,RAD52,,protein_coding,1021243,1099219,12,-1,,RAD52
ENSG00000002016,SRR1039521,137,N061011,trt,98,RAD52,,protein_coding,1021243,1099219,12,-1,,RAD52
ENSG00000002330,SRR1039508,206,N61311,untrt,126,BAD,,protein_coding,64037302,64052176,11,-1,,BAD
ENSG00000002330,SRR1039509,174,N61311,trt,126,BAD,,protein_coding,64037302,64052176,11,-1,,BAD
ENSG00000002330,SRR1039512,184,N052611,untrt,126,BAD,,protein_coding,64037302,64052176,11,-1,,BAD
ENSG00000002330,SRR1039513,111,N052611,trt,87,BAD,,protein_coding,64037302,64052176,11,-1,,BAD
ENSG00000002330,SRR1039516,194,N080611,untrt,120,BAD,,protein_coding,64037302,64052176,11,-1,,BAD
ENSG00000002330,SRR1039517,260,N080611,trt,126,BAD,,protein_coding,64037302,64052176,11,-1,,BAD
ENSG00000002330,SRR1039520,156,N061011,untrt,101,BAD,,protein_coding,64037302,64052176,11,-1,,BAD
ENSG00000002330,SRR1039521,177,N061011,trt,98,BAD,,protein_coding,64037302,64052176,11,-1,,BAD
ENSG00000002549,SRR1039508,1459,N61311,untrt,126,LAP3,,protein_coding,17578815,17609595,4,1,,LAP3
ENSG00000002549,SRR1039509,1294,N61311,trt,126,LAP3,,protein_coding,17578815,17609595,4,1,,LAP3
ENSG00000002549,SRR1039512,1317,N052611,untrt,126,LAP3,,protein_coding,17578815,17609595,4,1,,LAP3
ENSG00000002549,SRR1039513,998,N052611,trt,87,LAP3,,protein_coding,17578815,17609595,4,1,,LAP3
ENSG00000002549,SRR1039516,1451,N080611,untrt,120,LAP3,,protein_coding,17578815,17609595,4,1,,LAP3
ENSG00000002549,SRR1039517,1824,N080611,trt,126,LAP3,,protein_coding,17578815,17609595,4,1,,LAP3
ENSG00000002549,SRR1039520,853,N061011,untrt,101,LAP3,,protein_coding,17578815,17609595,4,1,,LAP3
ENSG00000002549,SRR1039521,1031,N061011,trt,98,LAP3,,protein_coding,17578815,17609595,4,1,,LAP3
ENSG00000002586,SRR1039508,7507,N61311,untrt,126,CD99,,protein_coding,2609220,2659350,X,1,,CD99
ENSG00000002586,SRR1039509,7203,N61311,trt,126,CD99,,protein_coding,2609220,2659350,X,1,,CD99
ENSG00000002586,SRR1039512,9501,N052611,untrt,126,CD99,,protein_coding,2609220,2659350,X,1,,CD99
ENSG00000002586,SRR1039513,6214,N052611,trt,87,CD99,,protein_coding,2609220,2659350,X,1,,CD99
ENSG00000002586,SRR1039516,10973,N080611,untrt,120,CD99,,protein_coding,2609220,2659350,X,1,,CD99
ENSG00000002586,SRR1039517,12863,N080611,trt,126,CD99,,protein_coding,2609220,2659350,X,1,,CD99
ENSG00000002586,SRR1039520,6834,N061011,untrt,101,CD99,,protein_coding,2609220,2659350,X,1,,CD99
ENSG00000002586,SRR1039521,7225,N061011,trt,98,CD99,,protein_coding,2609220,2659350,X,1,,CD99
ENSG00000002746,SRR1039508,151,N61311,untrt,126,HECW1,,protein_coding,43152198,43605600,7,1,,HECW1
ENSG00000002746,SRR1039509,139,N61311,trt,126,HECW1,,protein_coding,43152198,43605600,7,1,,HECW1
ENSG00000002746,SRR1039512,117,N052611,untrt,126,HECW1,,protein_coding,43152198,43605600,7,1,,HECW1
ENSG00000002746,SRR1039513,65,N052611,trt,87,HECW1,,protein_coding,43152198,43605600,7,1,,HECW1
ENSG00000002746,SRR1039516,90,N080611,untrt,120,HECW1,,protein_coding,43152198,43605600,7,1,,HECW1
ENSG00000002746,SRR1039517,102,N080611,trt,126,HECW1,,protein_coding,43152198,43605600,7,1,,HECW1
ENSG00000002746,SRR1039520,86,N061011,untrt,101,HECW1,,protein_coding,43152198,43605600,7,1,,HECW1
ENSG00000002746,SRR1039521,119,N061011,trt,98,HECW1,,protein_coding,43152198,43605600,7,1,,HECW1
ENSG00000002822,SRR1039508,411,N61311,untrt,126,MAD1L1,,protein_coding,1855429,2272878,7,-1,,MAD1L1
ENSG00000002822,SRR1039509,303,N61311,trt,126,MAD1L1,,protein_coding,1855429,2272878,7,-1,,MAD1L1
ENSG00000002822,SRR1039512,446,N052611,untrt,126,MAD1L1,,protein_coding,1855429,2272878,7,-1,,MAD1L1
ENSG00000002822,SRR1039513,195,N052611,trt,87,MAD1L1,,protein_coding,1855429,2272878,7,-1,,MAD1L1
ENSG00000002822,SRR1039516,445,N080611,untrt,120,MAD1L1,,protein_coding,1855429,2272878,7,-1,,MAD1L1
ENSG00000002822,SRR1039517,523,N080611,trt,126,MAD1L1,,protein_coding,1855429,2272878,7,-1,,MAD1L1
ENSG00000002822,SRR1039520,295,N061011,untrt,101,MAD1L1,,protein_coding,1855429,2272878,7,-1,,MAD1L1
ENSG00000002822,SRR1039521,300,N061011,trt,98,MAD1L1,,protein_coding,1855429,2272878,7,-1,,MAD1L1
ENSG00000002834,SRR1039508,6314,N61311,untrt,126,LASP1,,protein_coding,37026112,37078023,17,1,,LASP1
ENSG00000002834,SRR1039509,6364,N61311,trt,126,LASP1,,protein_coding,37026112,37078023,17,1,,LASP1
ENSG00000002834,SRR1039512,7831,N052611,untrt,126,LASP1,,protein_coding,37026112,37078023,17,1,,LASP1
ENSG00000002834,SRR1039513,5809,N052611,trt,87,LASP1,,protein_coding,37026112,37078023,17,1,,LASP1
ENSG00000002834,SRR1039516,6677,N080611,untrt,120,LASP1,,protein_coding,37026112,37078023,17,1,,LASP1
ENSG00000002834,SRR1039517,11970,N080611,trt,126,LASP1,,protein_coding,37026112,37078023,17,1,,LASP1
ENSG00000002834,SRR1039520,5766,N061011,untrt,101,LASP1,,protein_coding,37026112,37078023,17,1,,LASP1
ENSG00000002834,SRR1039521,7825,N061011,trt,98,LASP1,,protein_coding,37026112,37078023,17,1,,LASP1
ENSG00000002919,SRR1039508,234,N61311,untrt,126,SNX11,,protein_coding,46180719,46200436,17,1,,SNX11
ENSG00000002919,SRR1039509,246,N61311,trt,126,SNX11,,protein_coding,46180719,46200436,17,1,,SNX11
ENSG00000002919,SRR1039512,298,N052611,untrt,126,SNX11,,protein_coding,46180719,46200436,17,1,,SNX11
ENSG00000002919,SRR1039513,211,N052611,trt,87,SNX11,,protein_coding,46180719,46200436,17,1,,SNX11
ENSG00000002919,SRR1039516,217,N080611,untrt,120,SNX11,,protein_coding,46180719,46200436,17,1,,SNX11
ENSG00000002919,SRR1039517,376,N080611,trt,126,SNX11,,protein_coding,46180719,46200436,17,1,,SNX11
ENSG00000002919,SRR1039520,184,N061011,untrt,101,SNX11,,protein_coding,46180719,46200436,17,1,,SNX11
ENSG00000002919,SRR1039521,265,N061011,trt,98,SNX11,,protein_coding,46180719,46200436,17,1,,SNX11
ENSG00000002933,SRR1039508,1254,N61311,untrt,126,TMEM176A,,protein_coding,150497491,150502208,7,1,,TMEM176A
ENSG00000002933,SRR1039509,1508,N61311,trt,126,TMEM176A,,protein_coding,150497491,150502208,7,1,,TMEM176A
ENSG00000002933,SRR1039512,636,N052611,untrt,126,TMEM176A,,protein_coding,150497491,150502208,7,1,,TMEM176A
ENSG00000002933,SRR1039513,431,N052611,trt,87,TMEM176A,,protein_coding,150497491,150502208,7,1,,TMEM176A
ENSG00000002933,SRR1039516,25,N080611,untrt,120,TMEM176A,,protein_coding,150497491,150502208,7,1,,TMEM176A
ENSG00000002933,SRR1039517,27,N080611,trt,126,TMEM176A,,protein_coding,150497491,150502208,7,1,,TMEM176A
ENSG00000002933,SRR1039520,70,N061011,untrt,101,TMEM176A,,protein_coding,150497491,150502208,7,1,,TMEM176A
ENSG00000002933,SRR1039521,109,N061011,trt,98,TMEM176A,,protein_coding,150497491,150502208,7,1,,TMEM176A
ENSG00000003056,SRR1039508,1189,N61311,untrt,126,M6PR,,protein_coding,9092959,9102551,12,-1,,M6PR
ENSG00000003056,SRR1039509,947,N61311,trt,126,M6PR,,protein_coding,9092959,9102551,12,-1,,M6PR
ENSG00000003056,SRR1039512,1266,N052611,untrt,126,M6PR,,protein_coding,9092959,9102551,12,-1,,M6PR
ENSG00000003056,SRR1039513,693,N052611,trt,87,M6PR,,protein_coding,9092959,9102551,12,-1,,M6PR
ENSG00000003056,SRR1039516,1288,N080611,untrt,120,M6PR,,protein_coding,9092959,9102551,12,-1,,M6PR
ENSG00000003056,SRR1039517,1555,N080611,trt,126,M6PR,,protein_coding,9092959,9102551,12,-1,,M6PR
ENSG00000003056,SRR1039520,957,N061011,untrt,101,M6PR,,protein_coding,9092959,9102551,12,-1,,M6PR
ENSG00000003056,SRR1039521,899,N061011,trt,98,M6PR,,protein_coding,9092959,9102551,12,-1,,M6PR
ENSG00000003096,SRR1039508,550,N61311,untrt,126,KLHL13,,protein_coding,117031776,117251303,X,-1,,KLHL13
ENSG00000003096,SRR1039509,315,N61311,trt,126,KLHL13,,protein_coding,117031776,117251303,X,-1,,KLHL13
ENSG00000003096,SRR1039512,557,N052611,untrt,126,KLHL13,,protein_coding,117031776,117251303,X,-1,,KLHL13
ENSG00000003096,SRR1039513,171,N052611,trt,87,KLHL13,,protein_coding,117031776,117251303,X,-1,,KLHL13
ENSG00000003096,SRR1039516,519,N080611,untrt,120,KLHL13,,protein_coding,117031776,117251303,X,-1,,KLHL13
ENSG00000003096,SRR1039517,284,N080611,trt,126,KLHL13,,protein_coding,117031776,117251303,X,-1,,KLHL13
ENSG00000003096,SRR1039520,485,N061011,untrt,101,KLHL13,,protein_coding,117031776,117251303,X,-1,,KLHL13
ENSG00000003096,SRR1039521,224,N061011,trt,98,KLHL13,,protein_coding,117031776,117251303,X,-1,,KLHL13
ENSG00000003137,SRR1039508,124,N61311,untrt,126,CYP26B1,,protein_coding,72356367,72375167,2,-1,,CYP26B1
ENSG00000003137,SRR1039509,57,N61311,trt,126,CYP26B1,,protein_coding,72356367,72375167,2,-1,,CYP26B1
ENSG00000003137,SRR1039512,256,N052611,untrt,126,CYP26B1,,protein_coding,72356367,72375167,2,-1,,CYP26B1
ENSG00000003137,SRR1039513,63,N052611,trt,87,CYP26B1,,protein_coding,72356367,72375167,2,-1,,CYP26B1
ENSG00000003137,SRR1039516,30,N080611,untrt,120,CYP26B1,,protein_coding,72356367,72375167,2,-1,,CYP26B1
ENSG00000003137,SRR1039517,45,N080611,trt,126,CYP26B1,,protein_coding,72356367,72375167,2,-1,,CYP26B1
ENSG00000003137,SRR1039520,194,N061011,untrt,101,CYP26B1,,protein_coding,72356367,72375167,2,-1,,CYP26B1
ENSG00000003137,SRR1039521,68,N061011,trt,98,CYP26B1,,protein_coding,72356367,72375167,2,-1,,CYP26B1
ENSG00000003249,SRR1039508,81,N61311,untrt,126,DBNDD1,,protein_coding,90071273,90086536,16,-1,,DBNDD1
ENSG00000003249,SRR1039509,71,N61311,trt,126,DBNDD1,,protein_coding,90071273,90086536,16,-1,,DBNDD1
ENSG00000003249,SRR1039512,207,N052611,untrt,126,DBNDD1,,protein_coding,90071273,90086536,16,-1,,DBNDD1
ENSG00000003249,SRR1039513,80,N052611,trt,87,DBNDD1,,protein_coding,90071273,90086536,16,-1,,DBNDD1
ENSG00000003249,SRR1039516,109,N080611,untrt,120,DBNDD1,,protein_coding,90071273,90086536,16,-1,,DBNDD1
ENSG00000003249,SRR1039517,112,N080611,trt,126,DBNDD1,,protein_coding,90071273,90086536,16,-1,,DBNDD1
ENSG00000003249,SRR1039520,156,N061011,untrt,101,DBNDD1,,protein_coding,90071273,90086536,16,-1,,DBNDD1
